Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
ECT,"Kuring-Gai College of Advanced Education","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Kuring-Gai College of Advanced Education","Diploma of Teaching (Primary Education) with major specialisation in Early Childhood Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Kwangju Women's University","Bachelor of Education (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"South Korea","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Kwangju Women's University","Bachelor of Education with a major in Early Childhood Education",,"Any date before 1 January 2012",Queensland,"South Korea","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Kyoto Women's Junior College","Kindergarten Teaching Licence, Category 2",,"Any date before 1 January 2012",Queensland,Japan,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Kyung Sung University","Bachelor of Arts (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"South Korea","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Kyungin Women's College","Certificate of Graduation - Associate Degree in Early Childhood Education",,"Any date before 1 January 2012",Queensland,Korea,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Kyushu Junior College of Kinki University","Certificate of Graduation - Kindergarten Teacher/ Children's Nurse",,"Any date before 1 January 2012",Queensland,Japan,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"La Trobe University","Bachelor of Early Childhood Education",EBECE,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"La Trobe University","Bachelor of Early Learning",EBEL,"Any date if enrolled prior to April 2019",National,Australia,"ACECQA assessed and approved this qualification on 5 April 2013."
ECT,"La Trobe University","Bachelor of Early Childhood and Primary Education",EBECB/EBECS,"Any date if enrolled prior to March 2022",National,Australia,"ACECQA assessed and approved this program on 8 February 2017."
ECT,"La Trobe University","Bachelor of Early Childhood Education",EBECEO,"Any date if enrolled prior to February 2024",National,Australia,"ACECQA assessed and approved this program on 23 January 2019."
ECT,"La Trobe University","Bachelor of Education (Early Childhood/Primary)",PEB002,"Any date if enrolled prior to November 2027",National,Australia,"ACECQA assessed and approved this program on 13 October 2022."
ECT,"La Trobe University","Bachelor of Early Childhood Education",EBECEO,"Any date prior to December 2028",National,Australia,"ACECQA assessed and approved this qualification on 21 November 2023."
ECT,"La Trobe University","Graduate Diploma in Early Childhood Education",PEG002,"Any date if enrolled prior to November 2030",National,Australia,"ACECQA assessed and approved this qualification on 17 November 2025."
Diploma,"Launceston Institute of TAFE","Associate Diploma of Social Science (Child Care)",,"Any date before 1 January 2017",National,Australia,
ECT,"Laurus Higher Education","Graduate Diploma in Early Childhood Teaching",,"Any date prior to June 2030",National,Australia,"ACECQA assessed and approved this qualification on 12 June 2025."
"Certificate III","Lautoka Teachers' College","Certificate in Early Childhood Education",,"Any date before 1 January 2012",Queensland,Fiji,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Laval University","Bachelor of Education (Preschool and Primary Education)",,"Any date before 1 January 2012",Queensland,Canada,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Lead Institute of Higher Education","Graduate Diploma of Early Childhood Education",,"Any date if enrolled prior to May 2030",National,Australia,"ACECQA assessed and approved this qualification on 3 April 2025. "
Diploma,"Lebedyan Pedagogcial College","Preschool Teacher Certificate",,"Any date before 1 January 2012",Queensland,Russia,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Leeds University","Bachelor of Arts (Honours) in English with QTS (Early Years)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Lincoln Institute of Higher Education","Bachelor of Early Childhood Education",BECE,"Any date if enrolled prior to February 2030",National,Australia,"ACECQA assessed and approved this qualification on 25 February 2025."
Diploma,"Liverpool Hope University","Bachelor of Arts combined with Honours (Advanced study of Early Years and Education Studies)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Liverpool Hope University","Bachelor of Arts with Honours (Early Childhood Studies with Education Studies)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Liverpool Hope University","Degree of Bachelor of Arts with Honours (QTS) Professional Studies in Education with Early Childhood Studies",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Liverpool Hope University","Foundation Degree (Management of Childcare Provision)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Liverpool Institute of Higher Education","Certificate in Education (Primary with specialisation in Infants)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"London Metropolitan University","Bachelor of Arts(Hons) in Education (Early Childhood Studies)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Lorraine Martin College","Diploma of Early Childhood",,"Any date before 1 January 2017",National,Australia,"Qualification also known as 'Diploma in Early Childhood'. Also known as Martin College."
ECT,"Lyons College","Graduate Diploma of Early Childhood Education",GDECE,"Any date if enrolled prior to March 2031",National,Australia,"ACECQA assessed and approved this qualification on 31 March 2026."
ECT,"Macarthur Institute of Higher Education","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Macarthur Institute of Higher Education","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2017",National,Australia,
ECT,"Macquarie University","Bachelor of Arts with a Major in Early Childhood Services",,"Any date if enrolled prior to 1 January 2012",National,Australia,"May also be known as Bachelor of Arts with a Major in Early Childhood."
ECT,"Macquarie University","Bachelor of Education (Early Childhood Education)",EDUC01,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Macquarie University","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Macquarie University","Bachelor of Teaching (Birth to five years)",TEAC02,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Macquarie University","Bachelor of Teaching (Birth to School Age)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Macquarie University","Bachelor of Teaching (Early Childhood Services)",TEAC03,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Macquarie University","Bachelor of Teaching (Early Childhood Services)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Macquarie University","Bachelor of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Macquarie University","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Macquarie University","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Qualification also known as 'Diploma in Teaching (Early Childhood)'"
ECT,"Macquarie University","Graduate Diploma in Early Childhood","ECHS06 / ECHS05 / ECHS07","Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Macquarie University","Graduate Diploma in Early Childhood (0-5)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Macquarie University","Graduate Diploma in Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Macquarie University","Graduate Diploma in Education Studies (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Macquarie University","Master of Early Childhood",,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Macquarie University","Bachelor of Teaching (Early Childhood Education)",TECE01,"Any date if enrolled prior to October 2019",National,Australia,"ACECQA assessed and approved this program on 30 October 2014."
ECT,"Macquarie University","Bachelor of Teaching (Early Childhood Communities)",TECC01,"Any date if enrolled prior to December 2019",National,Australia,"ACECQA assessed and approved this program on 11 December 2014."
ECT,"Macquarie University","Bachelor of Education (Early Childhood Education) (Birth to 12)","EDEC01 / EDUC01","Any date if enrolled prior to October 2019",National,Australia,"ACECQA assessed and approved this qualification on 30 October 2014."
ECT,"Macquarie University","Master of Teaching (Birth to Five Years)","TEAC12MV2 / TEAC11M / TEAC12M / C154 FDZ-M V1 with C143 CM. ver1/ C143FDZ with C143CZU / TEAC20M-T, ver 1 / TEAC18MT / TEAC18MTV1","Any date if enrolled prior to July 2021",National,Australia,"ACECQA reassessed and reapproved this program on 15 July 2016."
ECT,"Macquarie University","Graduate Diploma of Advanced Studies in Early Childhood",ADEC02GD,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Macquarie University","Graduate Diploma of Early Childhood Teaching",ECHT01GD,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Macquarie University","Bachelor of Teaching (Early Childhood Education)","TECE19V1 / C000012","Any date if enrolled prior to November 2024",National,Australia,"ACECQA assessed and approved this qualification on 10 October 2018."
ECT,"Macquarie University","Bachelor of Arts with the degree of Bachelor of Education (Primary) with a major in Early Childhood Teaching","AREP19V1, AREP20-T1 ver 1, N212D6 ver 1","Any date if enrolled prior to December 2024",National,Australia,"ACECQA assessed and approved this qualification on 6 November 2018. Parchment and transcript must show completion of the early childhood major."
ECT,"Macquarie University","Master of Teaching (Birth to Five Years)","C000143 / C000231","Any date before 1 December 2026",National,Australia,"ACECQA assessed and approved this qualification on 25 November 2021."
ECT,"Macquarie University","Bachelor of Education (Early Childhood)",C000425,"Any date if enrolled prior to October 2029",National,Australia,"ACECQA assessed and approved this program on 27 September 2024"
ECT,"Macquarie University","Bachelor of Education (Early Childhood and Primary)",C000426,"Any date if enrolled prior to October 2029",National,Australia,"ACECQA assessed and approved this program on 27 September 2024"
ECT,"Macquarie University","Master of Teaching (Birth to Five Years)",C000143,"Any date if enrolled prior to December 2030",National,Australia,"ACECQA reassessed and reapproved this qualification on 7 December 2025."
Diploma,"Maharaja Sayajirao University","Graduate Diploma in Early Childhood Care and Education",,"Any date before 1 January 2012",Queensland,India,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Manchester Metropolitan University","Bachelor of Arts (Honours) in Early Childhood Studies",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Manchester Metropolitan University","Bachelor of Education (Honours)(Early Years)",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Manonmaniam Sundaranar University","Bachelor of Education majoring in Early Childhood and Mathematics Education",,"Any date before 1 January 2012",Queensland,India,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Manukau Institute of Technology","Bachelor of Education (Early Childhood Teaching)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Manukau Institute of Technology","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Mary Immaculate College, University of Limerick","Bachelor of Arts Primary Level Education majoring in Early Childhood Care and Education (known also as Bachelor of Arts in Early Childhood Care and Education)",,"Any date before 1 January 2012",Queensland,Ireland,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Mary Watson College of Early Childhood Studies","Diploma of Early Childhood Education and Care",,"Any date before 1 January 2017",National,Australia,
Diploma,"Mary Watson College of Early Childhood Studies","Diploma of Education and Care",,"Any date before 1 January 2017",National,Australia,
Diploma,"Massey University","Bachelor of Education (Teaching)-Early Years",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Massey University","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Massey University","Graduate Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Melbourne College of Advanced Education","Associate Diploma of Arts (Child Care)",,"Any date before 1 January 2012",National,Australia,
ECT,"Melbourne College of Advanced Education","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Melbourne College of Advanced Education","Diploma in Social Science (Children's Services)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Melbourne College of Advanced Education","Diploma of Arts (Child Care)",,"Any date before 1 January 2017",National,Australia,
ECT,"Melbourne College of Advanced Education","Diploma of Education (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Melbourne College of Advanced Education","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Melbourne College of Advanced Education","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Melbourne Kindergarten Teachers' College","Diploma of Kindergarten Training College",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Melbourne Kindergarten Teachers' College","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Melbourne Kindergarten Teachers' College","Diploma of the Melbourne Kindergarten Teachers' College",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Melbourne Polytechnic","Associate Degree in Early Years Studies",,"Any date before 1 January 2017",National,Australia,"Melbourne Polytechnic was formerly known by a different name: Northern Melbourne Institute of TAFE."
ECT,"Melbourne Polytechnic","Bachelor of Early Years Studies",HEFEEYS,"Any date if enrolled prior to 1 January 2017",National,Australia,"Melbourne Polytechnic was formerly known by a different name: Northern Melbourne Institute of TAFE."
ECT,"Melbourne Polytechnic","Bachelor of Education (Early Years)",HEFEEDEY,"Any date if enrolled prior to 1 January 2017",National,Australia,"Melbourne Polytechnic was formerly known by a different name: Northern Melbourne Institute of TAFE."
ECT,"Melbourne Polytechnic","Bachelor of Education (Early Years)",CRS1201357,"Any date if enrolled prior to April 2021",National,Australia,"ACECQA assessed and approved this qualification on 8 December 2015. Melbourne Polytechnic was formerly known by a different name: Northern Melbourne Institute of TAFE."
Diploma,"Melbourne Polytechnic","Associate Degree of Early Years Studies",CRS1201359,"Any date if enrolled prior to April 2021",National,Australia,"ACECQA assessed and approved this qualification on 8 December 2015. Melbourne Polytechnic was formerly known by a different name: Northern Melbourne Institute of TAFE."
Diploma,"Melbourne Polytechnic","Associate Degree of Early Years Studies",HEFEADEYS,"Any date if enrolled before March 2026",National,Australia,"ACECQA assessed and approved this qualification on 11 February 2021. Melbourne Polytechnic was formerly known by a different name: Northern Melbourne Institute of TAFE."
ECT,"Melbourne Polytechnic","Bachelor of Education (Early Years and Primary)","HEFEEDEY / HEBOEEYP","Any date if enrolled prior to March 2026",National,Australia,"ACECQA assessed and approved this qualification on 11 February 2021. Melbourne Polytechnic was formerly known by a different name: Northern Melbourne Institute of TAFE."
ECT,"Melbourne Polytechnic","Bachelor of Early Childhood Education",HEBOECE,"Any date if enrolled prior to November 2027",National,Australia,"ACECQA reassessed and approved this qualification on 13 October 2022.  Melbourne Polytechnic was formerly known by a different name: Northern Melbourne Institute of TAFE."
ECT,"Melbourne Polytechnic","Bachelor of Education (Early Years and Primary)",HEBOEEYP,"Any date if enrolled prior to December 2030",National,Australia,"ACECQA reassessed and reapproved this qualification on 19 December 2025."
Diploma,"Melbourne Polytechnic","Associate Degree of Early Years Studies",HEFEADEYS,"Any date if enrolled prior to December 2030",National,Australia,"ACECQA reassessed and reapproved this qualification on 19 December 2025."
ECT,"Melbourne Teachers' College","Trained Infant Teachers' Certificate",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Midland College of TAFE","Diploma of Children's Services (0 - 5 Years)",,"Any date before 1 January 2017",National,Australia,
Diploma,"Millersville University","Bachelor of Science in Education (Elementary and Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"United States of America","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Mitchell College of Advanced Education","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Mitchell College of Advanced Education","Diploma of Teacher Early Childhood Education",,"Any date before 1 January 2017",National,Australia,"Also known as 'Diploma in Teacher Early Childhood Education'."
ECT,"Mitchell College of Advanced Education","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Mitchell College of Advanced Education","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Qualification also known as 'Diploma in Teaching (Early Childhood)'"
Diploma,"Miyagi Gakuin Women's University","Childcare Worker Certificate (granted Kindergarten Teacher Certificate 2nd class)",,"Any date before 1 January 2012",Queensland,Japan,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Mohawk College","Early Childhood Education Diploma",,"Any date before 1 January 2012",Queensland,Canada,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Monash University","Bachelor of Early Childhood Education",1515,"Any date if enrolled prior to 1 January 2017",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Bachelor of Early Childhood Studies",3708,"Any date if enrolled prior to 1 January 2017",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Bachelor of Education (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston"
ECT,"Monash University","Bachelor of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston"
ECT,"Monash University","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston"
ECT,"Monash University","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston"
ECT,"Monash University","Graduate Diploma in Children's Services",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston"
ECT,"Monash University","Graduate Diploma in Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston"
ECT,"Monash University","Graduate Diploma of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston"
ECT,"Monash University","Graduate Diploma of Education (Early Childhood)",3201,"Any date if enrolled prior to 1 January 2017",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Graduate Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston"
ECT,"Monash University","Graduate Diploma of Teaching (Early Childhood)",4205,"Any date if enrolled prior to 1 January 2017",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Master of Teaching (Early Childhood)",4202,"Any date if enrolled prior to 1 January 2017",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Master of Teaching (Early Years)",4222,"Any date if enrolled prior to August 2018",National,Australia,"ACECQA assessed and approved this qualification on 2 August 2013. 

Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Bachelor of Education (Early Childhood)",4223,"Any date if enrolled prior to June 2019",National,Australia,"ACECQA assessed and approved this program on 27 June 2014.

Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Bachelor of Education (Early Childhood/Primary)",4224,"Any date if enrolled prior to June 2019",National,Australia,"ACECQA assessed and approved this program on 27 June 2014.

Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Bachelor of Education (Honours) in Early Years Education",D30011,"Any date if enrolled prior to October 2019",National,Australia,"ACECQA assessed and approved this program on 29 October 2014.

Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Bachelor of Education (Honours) in Early Years and Primary Education",D30012,"Any date if enrolled prior to October 2019",National,Australia,"ACECQA assessed and approved this program on 29 October 2014.Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Master of Teaching in Early Years Education",D60011,"Any date if enrolled prior to September 2020",National,Australia,"ACECQA assessed and approved this qualification on 12 February 2015.Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Master of Teaching in Early Years and Primary Education",D60012,"Any date if enrolled prior to September 2020",National,Australia,"ACECQA assessed and approved this qualification on 12 February 2015.Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Bachelor of Education (Honours) in Early Childhood and Primary Education","D30012 / D30018","Any date if enrolled prior to June 2026",National,Australia,"ACECQA assessed and approved this qualification on 1 October 2019.Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Master of Teaching in Early Childhood Education",D60011,"Any date if enrolled prior to June 2026",National,Australia,"ACECQA assessed and approved this qualification on 17 November 2020.Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Master of Teaching in Early Childhood and Primary Education",D60012,"Any date if enrolled prior to June 2026",National,Australia,"ACECQA reassessed and reapproved this qualification on 17 November 2020.

Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston."
ECT,"Monash University","Graduate Diploma of Early Childhood Education",D5005,"Any date before 1 February 2027",National,Australia,"Monash University was formerly known by a different name: Chisholm Institute of Technology OR State College of Victoria at Frankston.

This program includes an embedded Graduate Certificate of Early Childhood Education (D4011). Please note this Graduate Certificate is not an ACECQA approved qualification."
ECT,"Monash University","Master of Teaching in Early Childhood Education",D60011,"Any date if enrolled prior to August 2031",National,Australia,"ACECQA reassessed and reapproved this qualification on 14 August 2026."
ECT,"Monash University","Master of Teaching in Early Childhood and Primary Education",D60012,"Any date if enrolled prior to August 2031",National,Australia,"ACECQA reassessed and reapproved this qualification on 14 August 2026. "
ECT,"Monash University","Bachelor of Education (Honours) in Early Childhood and Primary Education",D30018,"Any date if enrolled prior to August 2031",National,Australia,"ACECQA reassessed and reapproved this qualification on 14 August 2026."
"Certificate III","Montessori World Education Institute (Aust) Inc.","Advanced Certificate Course (Montessori Education)",,"Any date before 1 January 2012",National,Australia,
Diploma,"Montessori World Education Institute (Aust) Inc.","Advanced Diploma of Montessori Studies",,"Any date before 1 January 2012",National,Australia,
