Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education (Teacher Aide)",,"Any date before 1 January 2012",National,Australia,"Known codes for this qualification, but not limited to, include 69906 and 69953"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education (Teacher Aide/Assistant)",69827,"Any date before 1 January 2017",National,Australia,"As stated on www.training.gov.au, currency period ended on 26 August 2012"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education Support","CHC30808, CHC30812","Any date before 1 January 2017",National,Australia,"CHC30808 is superseded by CHC30812, which in turn is superseded by CHC30213"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Education Support",CHC30213,"Any date before 21 January 2023",National,Australia,"This qualification is most suitable for use in early childhood education and care settings that are delivered on school sites (e.g. pre-school/kindergartens).

CHC30213 is superseded by CHC30221. CHC30221 (Certificate III in School Based Education Support) has not been added to the NQF approved qualifications list. "
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Children's Services (Centre-based Care)",,"Any date before 1 January 2017",National,Australia,"Also known as 'Diploma in Children's Services (Centre-based Care)'. "
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Teacher Assistant",51196,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III in Teacher Assistant",51779,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate III Introduction to Child Care",,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Certificate in Applied Social Science (Child Care Studies)",,"Any date before 1 January 2012",National,Australia,"Also known as Certificate of Applied Social Science (Child Care Studies)."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Certificate in Applied Social Science (Child Care)",,"Any date before 1 January 2017",National,Australia,"Also known as 'Certificate of Applied Social Science (Child Care)'."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate in Child Care",CNH44,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate in Child Care (Assistant)",,"Any date before 1 January 2012",National,Australia,"Also known as 'Child Care Assistants Certificate Course'."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate in Child Care and Education",,"Any date before 1 January 2012",National,Australia,"Known codes include, but not limited to, CN0323, CN232. May also be known as 'Certificate III in Child Care and Education'."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate in Child Care Practices",,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate in Early Childhood Education (Pre-school)",CNL41,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate in Family Day Care",,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate IV in Community Services (Children's Services)",,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate IV in Education (Teacher Aide)",,"Any date before 1 January 2012",National,Australia,"Known codes for this qualification, but not limited to, include 69923 and 69952"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate IV in Education (Teacher Aide/Assistant)",69826,"Any date before 1 January 2017",National,Australia,"As stated on www.training.gov.au, currency period ended on 26 August 2012"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate IV in Education Support",CHC40213,"Any date before 21 January 2023",National,Australia,"CHC40213 is superseded by CHC40221. CHC40221 (Certificate IV in School Based Education Support) has not been added to the NQF approved qualifications list."
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate IV in Education Support","CHC41712, CHC41708","Any date before 1 January 2017",National,Australia,"CHC41708 is superseded by CHC41712, which in turn is superseded by CHC40213"
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate IV in Teacher Aide Studies",CNHEA028,"Any date before 1 January 2012",National,Australia,
"Certificate III","Any Australian registered training organisation or accredited higher education provider","Certificate of Competency as a Child Welfare Assistant",,"Any date before 1 January 2012",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Child Care Certificate Course",,"Any date",National,Australia,"Also known as 'Child Care Certificate Course No.1959'."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Childcare and Education",3909,"Any date before 1 January 2017",National,Australia,
Diploma,"Any Australian registered training organisation or accredited higher education provider","Child Care Certificate",,"Any date before 1 January 2012",National,Australia,"Also known as 'Certificate in Child Care' or 'Certificate of Child Care'."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Community Services (Children's Services)",,"Any date before 1 January 2017",National,Australia,"Known codes of this qualification, but not limited to, include CHC50399."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Early Childhood Education and Care",CHC50113,"Any date prior to 21 January 2023",National,Australia,"CHC50113 is superseded by CHC50121 Diploma of Early Childhood Education and Care."
Diploma,"Any Australian registered training organisation or accredited higher education provider","Diploma of Education Support",CHC51308,"Any date before 5 December 2017",National,Australia,
